Location,Main Library Name,10.15 Phone,Latitude,Longtitude,10.6 Street Address,10.7 City,10.8 Zip Code,10.9 Zip+4 Code,10.1 FSCSKey,URL
A. K. SMILEY PUBLIC LIBRARY,A. K. SMILEY PUBLIC LIBRARY,(909) 798-7565,34.05408,-117.18396,125 W. VINE ST.,REDLANDS,92373,4728,CA0165,http://www.akspl.org
ALBANY LIBRARY,ALAMEDA COUNTY LIBRARY,(510) 526-3720,37.88797,-122.29299,1247 MARIN AVENUE,ALBANY,94706,1796,CA0001,http://www.aclibrary.org
CASTRO VALLEY LIBRARY,ALAMEDA COUNTY LIBRARY,(510) 667-7900,37.69298,-122.07105,3600 NORBRIDGE AVE.,CASTRO VALLEY,94546,4382,CA0001,http://www.aclibrary.org
CENTERVILLE LIBRARY,ALAMEDA COUNTY LIBRARY,(510) 795-2629,37.56800,-122.02226,3801 NICOLET AVE.,FREMONT,94536,3493,CA0001,http://www.aclibrary.org
DUBLIN LIBRARY,ALAMEDA COUNTY LIBRARY,(925) 828-1315,37.70278,-121.91895,200 CIVIC PLAZA,DUBLIN,94568,2619,CA0001,http://www.aclibrary.org
FREMONT MAIN LIBRARY,ALAMEDA COUNTY LIBRARY,(510) 745-1401,37.55082,-121.97098,2400 STEVENSON BLVD.,FREMONT,94538,2325,CA0001,http://www.aclibrary.org
IRVINGTON LIBRARY,ALAMEDA COUNTY LIBRARY,(510) 795-2631,37.52198,-121.96477,41825 GREENPARK DR.,FREMONT,94538,4048,CA0001,http://www.aclibrary.org
NEWARK LIBRARY,ALAMEDA COUNTY LIBRARY,(510) 795-2627,37.53458,-122.03038,37055 NEWARK BLVD.,NEWARK,94560,3184,CA0001,http://www.aclibrary.org
NILES LIBRARY,ALAMEDA COUNTY LIBRARY,(510) 795-2626,37.57603,-121.97813,150 I ST.,FREMONT,94536,2998,CA0001,http://www.aclibrary.org
SAN LORENZO LIBRARY,ALAMEDA COUNTY LIBRARY,(510) 670-6283,37.68106,-122.12595,395 PASEO GRANDE,SAN LORENZO,94580,2491,CA0001,http://www.aclibrary.org
UNION CITY LIBRARY,ALAMEDA COUNTY LIBRARY,(510) 745-1464,37.58811,-122.02718,34007 ALVARADO-NILES RD.,UNION CITY,94587,4498,CA0001,http://www.aclibrary.org
ALAMEDA FREE LIBRARY,ALAMEDA FREE LIBRARY,(510) 747-7747,37.76681,-122.24243,1550 OAK ST,ALAMEDA,94501,4411,CA0002,http://www.alamedafree.org
BAY FARM ISLAND BRANCH,ALAMEDA FREE LIBRARY,(510) 747-7787,37.73696,-122.24155,3221 MECARTNEY RD.,ALAMEDA,94502,6922,CA0002,http://www.alamedafree.org
WEST END BRANCH,ALAMEDA FREE LIBRARY,(510) 747-7767,37.77340,-122.27366,788 SANTA CLARA AVE.,ALAMEDA,94501,3334,CA0002,http://www.alamedafree.org
ALHAMBRA CIVIC CENTER LIBRARY,ALHAMBRA CIVIC CENTER LIBRARY,(626) 570-5008,34.09307,-118.12754,101 S. FIRST ST.,ALHAMBRA,91801,3488,CA0003,http://alhambralibrary.org
ALPINE COUNTY LIBRARY,ALPINE COUNTY LIBRARY/ARCHIVES,(530) 694-2120,38.69329,-119.78230,270 LARAMIE ST.,MARKLEEVILLE,96120,N/A,CA0004,http://www.alpinecountyca.gov/Index.aspx?NID=107
BEAR VALLEY LIBRARY STATION,ALPINE COUNTY LIBRARY/ARCHIVES,(209) 753-6219,38.46581,-120.03883,367 CREEKSIDE DR.,BEAR VALLEY,95223,N/A,CA0004,http://www.alpinecountyca.gov/Index.aspx?NID=107
ALTADENA LIBRARY DISTRICT,ALTADENA LIBRARY DISTRICT,(626) 798-0833,34.18916,-118.13718,600 E. MARIPOSA ST.,ALTADENA,91001,2211,CA0005,http://www.altadenalibrary.org
BOB LUCAS MEMORIAL LIBRARY AND LITERACY CENTE,ALTADENA LIBRARY DISTRICT,(626) 798-8338,34.19132,-118.15896,2659 N. LINCOLN AVE.,ALTADENA,91001,5449,CA0005,http://www.altadenalibrary.org
AMADOR COUNTY LIBRARY,AMADOR COUNTY LIBRARY,(209) 223-6400,38.35405,-120.77652,530 SUTTER ST.,JACKSON,95642,2379,CA0006,http://www.amadorgov.org/departments/library
IONE BRANCH,AMADOR COUNTY LIBRARY,(209) 274-2560,38.35304,-120.93291,25 EAST MAIN ST.,IONE,95640,N/A,CA0006,http://www.amadorgov.org/departments/library
PINE GROVE BRANCH,AMADOR COUNTY LIBRARY,(209) 296-3111,38.41344,-120.65778,19889 HWY 88,PINE GROVE,95665,N/A,CA0006,http://www.amadorgov.org/departments/library
PIONEER BRANCH,AMADOR COUNTY LIBRARY,(209) 295-7330,38.44316,-120.55717,25070 BUCKHORN RIDGE RD.,PIONEER,95666,N/A,CA0006,http://www.amadorgov.org/departments/library
PLYMOUTH BRANCH,AMADOR COUNTY LIBRARY,(209) 245-6476,38.48120,-120.84850,9375 MAIN ST.,PLYMOUTH,95669,N/A,CA0006,http://www.amadorgov.org/departments/library
Anaheim Central Library,ANAHEIM PUBLIC LIBRARY,(714) 765-1880,33.83150,-117.91932,500 W. BROADWAY,ANAHEIM,92805,3699,CA0007,http://anaheim.net/library
Anaheim Heritage Center @ the Muzeo,ANAHEIM PUBLIC LIBRARY,(714) 765-6453,33.83358,-117.91362,241 S. ANAHEIM BLVD.,ANAHEIM,92805,3821,CA0007,http://anaheim.net/library
Canyon Hills Branch Library,ANAHEIM PUBLIC LIBRARY,(714) 765-6444,33.84508,-117.78544,400 SCOUT TRAIL,ANAHEIM,92807,4763,CA0007,http://anaheim.net/library
East Anaheim Branch Library,ANAHEIM PUBLIC LIBRARY,(714) 765-3887,33.86880,-117.74636,8201 E. SANTA ANA CANYON RD.,ANAHEIM,92808,2288,CA0007,http://anaheim.net/library
Euclid Branch Library,ANAHEIM PUBLIC LIBRARY,(714) 765-3625,33.81431,-117.94106,1340 S. EUCLID,ANAHEIM,92802,2002,CA0007,http://anaheim.net/library
Haskett Branch Library,ANAHEIM PUBLIC LIBRARY,(714) 765-5075,33.82820,-117.97862,2650 W. BROADWAY,ANAHEIM,92804,2124,CA0007,http://anaheim.net/library
Ponderosa Joint Use Library,ANAHEIM PUBLIC LIBRARY,(714) 740-0202,33.79542,-117.90413,240 E. ORANGEWOOD AVE.,ANAHEIM,92802,4311,CA0007,http://anaheim.net/library
Sunkist Branch Library,ANAHEIM PUBLIC LIBRARY,(714) 765-3576,33.82814,-117.88100,901 S. SUNKIST,ANAHEIM,92806,4739,CA0007,http://anaheim.net/library
ARCADIA PUBLIC LIBRARY,ARCADIA PUBLIC LIBRARY,(626) 821-5567,34.12846,-118.03187,20 W. DUARTE ROAD,ARCADIA,91006,6999,CA0008,http://www.arcadiaca.gov/library
Azusa City Library,AZUSA CITY LIBRARY,(626) 812-5232,34.13481,-117.90540,729 N. DALTON AVE.,AZUSA,91702,2550,CA0010,http://www.azusaca.gov/library
BANNING LIBRARY DISTRICT,BANNING LIBRARY DISTRICT,(951) 849-3192,33.92910,-116.87710,21 W. NICOLET ST.,BANNING,92220,4607,CA0167,http://www.banninglibrarydistrict.org/
BEAUMONT LIBRARY DISTRICT LIBRARY,BEAUMONT LIBRARY DISTRICT,(951) 845-1357,33.93201,-116.98110,125 E. EIGHTH ST.,BEAUMONT,92223,2194,CA0168,http://bld.lib.ca.us
BELVEDERE TIBURON LIBRARY,BELVEDERE-TIBURON LIBRARY,(415) 789-2665,37.87709,-122.46145,1501 TIBURON BLVD,TIBURON,94920,2530,CA0197,https://beltiblibrary.org
BENICIA PUBLIC LIBRARY,BENICIA PUBLIC LIBRARY,(707) 746-4343,38.05340,-122.15447,150 E. L ST.,BENICIA,94510,3281,CA0163,https://www.benicialibrary.org
BERKELEY PUBLIC LIBRARY - CENTRAL,BERKELEY PUBLIC LIBRARY,(510) 981-6100,37.86820,-122.26849,2090 KITTREDGE ST.,BERKELEY,94704,1427,CA0011,http://www.berkeleypubliclibrary.org/
CLAREMONT BRANCH LIBRARY,BERKELEY PUBLIC LIBRARY,(510) 981-6280,37.85663,-122.25436,2940 BENVENUE AVE.,BERKELEY,94705,2231,CA0011,http://www.berkeleypubliclibrary.org/
NORTH BRANCH LIBRARY,BERKELEY PUBLIC LIBRARY,(510) 981-6250,37.88545,-122.27545,1170 THE ALAMEDA,BERKELEY,94707,2502,CA0011,http://www.berkeleypubliclibrary.org/
SOUTH BRANCH LIBRARY,BERKELEY PUBLIC LIBRARY,(510) 981-6260,37.85640,-122.27093,1901 RUSSELL ST.,BERKELEY,94703,2221,CA0011,http://www.berkeleypubliclibrary.org/
WEST BRANCH LIBRARY,BERKELEY PUBLIC LIBRARY,(510) 981-6270,37.86956,-122.29091,1125 UNIVERSITY AVE.,BERKELEY,94702,1605,CA0011,http://www.berkeleypubliclibrary.org/
BEVERLY HILLS PUBLIC LIBRARY,BEVERLY HILLS PUBLIC LIBRARY,(310) 288-2220,34.07305,-118.39938,444 N. REXFORD DR.,BEVERLY HILLS,90210,4877,CA0012,http://www.bhpl.org
ROXBURY PARK SENIOR ADULT LIBRARY,BEVERLY HILLS PUBLIC LIBRARY,(310) 285-6849,34.05857,-118.40614,401 S. ROXBURY DR.,BEVERLY HILLS,90212,4113,CA0012,http://www.bhpl.org
BLANCHARD COMMUNITY LIBRARY,BLANCHARD/SANTA PAULA PUBLIC LIBRARY DISTRICT,(805) 525-3615,34.35382,-119.06408,119 N. EIGHTH ST.,SANTA PAULA,93060,2709,CA0131,http://www.blanchardlibrary.org
BRAWLEY PUBLIC LIBRARY,BRAWLEY PUBLIC LIBRARY,(760) 344-1891,32.97843,-115.53481,400 MAIN ST.,BRAWLEY,92227,2491,CA0013,brawley-ca.gov/section/Library
DEL RIO BRANCH,BRAWLEY PUBLIC LIBRARY,(760) 344-1891,32.97574,-115.51728,1501 I ST.,BRAWLEY,92227,3603,CA0013,brawley-ca.gov/section/Library
BUENA PARK LIBRARY DISTRICT,BUENA PARK LIBRARY DISTRICT,(714) 826-4100,33.84610,-118.00845,7150 LA PALMA AVE.,BUENA PARK,90620,2547,CA0014,http://www.buenaparklibrary.org/
BUENA VISTA BRANCH,BURBANK PUBLIC LIBRARY,(818) 238-5620,34.16413,-118.33021,300 N. BUENA VISTA STREET,BURBANK,91505,3208,CA0015,http://www.BurbankLibrary.org
BURBANK PUBLIC LIBRARY,BURBANK PUBLIC LIBRARY,(818) 238-5551,34.18382,-118.30647,110 N. GLENOAKS BLVD.,BURBANK,91502,1203,CA0015,http://www.BurbankLibrary.org
NORTHWEST BRANCH,BURBANK PUBLIC LIBRARY,(818) 238-5640,34.18509,-118.34752,3323 W. VICTORY BLVD.,BURBANK,91505,1543,CA0015,http://www.BurbankLibrary.org
BURLINGAME MAIN LIBRARY,BURLINGAME PUBLIC LIBRARY,(650) 558-7474,37.57924,-122.34928,480 PRIMROSE ROAD,BURLINGAME,94010,4812,CA0016,http://www.burlingame.org/library
EASTON BRANCH,BURLINGAME PUBLIC LIBRARY,(650) 340-6180,37.58393,-122.37157,1800 EASTON DRIVE,BURLINGAME,94010,4083,CA0016,http://www.burlingame.org/library
BIGGS BRANCH,BUTTE COUNTY LIBRARY,(530) 552-5652,39.41350,-121.71032,464A B ST.,BIGGS,95917,9796,CA0017,http://www.buttecounty.net/bclibrary
BUTTE COUNTY LIBRARY,BUTTE COUNTY LIBRARY,(530) 552-5652,39.50647,-121.55279,1820 MITCHELL AVENUE,OROVILLE,95966,5387,CA0017,http://www.buttecounty.net/bclibrary
CHICO BRANCH,BUTTE COUNTY LIBRARY,(530) 552-5652,39.74383,-121.83411,1108 SHERMAN AVENUE,CHICO,95926,3575,CA0017,http://www.buttecounty.net/bclibrary
DURHAM BRANCH,BUTTE COUNTY LIBRARY,(530) 552-5652,39.64898,-121.80951,2545 DURHAM DAYTON HWY,DURHAM,95938,9615,CA0017,http://www.buttecounty.net/bclibrary
GRIDLEY BRANCH,BUTTE COUNTY LIBRARY,(530) 552-5652,39.36669,-121.69109,299 SPRUCE STREET,GRIDLEY,95948,397,CA0017,http://www.buttecounty.net/bclibrary
PARADISE BRANCH,BUTTE COUNTY LIBRARY,(530) 552-5652,39.75799,-121.60616,5922 CLARK ROAD,PARADISE,95969,4896,CA0017,http://www.buttecounty.net/bclibrary
CITY OF CALABASAS LIBRARY,CALABASAS CITY LIBRARY,(818) 225-7616,34.15259,-118.64658,200 CIVIC CENTER WAY,CALABASAS,91302,4114,CA0201,http://www.cityofcalabasas.com/library.html
ANGELS CAMP BRANCH,CALAVERAS COUNTY LIBRARY,(209) 736-2198,38.08614,-120.56645,426 N. MAIN STREET,ANGELS CAMP,95222,N/A,CA0018,www.calaveraslibrary.com
ARNOLD BRANCH,CALAVERAS COUNTY LIBRARY,(209) 795-1009,38.25789,-120.34738,1065 BLAGEN ROAD,ARNOLD,95223,N/A,CA0018,www.calaveraslibrary.com
CALAVERAS COUNTY LIBRARY,CALAVERAS COUNTY LIBRARY,(209) 754-6510,38.18970,-120.66319,1299 GOLD HUNTER ROAD,SAN ANDREAS,95249,9713,CA0018,www.calaveraslibrary.com
COPPEROPOLIS BRANCH LIBRARY,CALAVERAS COUNTY LIBRARY,(209) 785-0920,37.96976,-120.62597,SUITE 106 LAKE TULLOCH PLAZA,COPPEROPOLIS,95228,9746,CA0018,www.calaveraslibrary.com
MOKELUMNE HILL BRANCH LIBRARY,CALAVERAS COUNTY LIBRARY,(209) 286-0507,38.30159,-120.70567,8328 MAIN ST.,MOKELUMNE HILL,95245,9776,CA0018,www.calaveraslibrary.com
MURPHYS BRANCH,CALAVERAS COUNTY LIBRARY,(209) 728-3036,38.13742,-120.45964,480 PARK LANE,MURPHYS,95247,N/A,CA0018,www.calaveraslibrary.com
