"objectid","rd20full","length_mi","class","xstrt1","xstrt2","district","sapid","iamfloc"
"1","MISSION BL","0.06682098","Class III","BERYL ST","WILBUR AV","1","SS-018496","SS-018496"
"2","LA JOLLA SHORES DR","0.39652264","Class III","LA JOLLA SHORES LN","HORIZON WY","1","SS-015617","SS-015617"
"3","06TH AV","0.06865996","Class III","BEECH ST","CEDAR ST","3","SS-000217",""
"4","K ST","0.05227268","Class III","05TH AV","06TH AV","3","SS-014811",""
"5","MARKET ST","0.06252350","Class II","RAVEN ST","41ST ST","9","SS-017619","SS-017619"
"6","BRUNSWICK AV","0.05657971","Class III","COTTAGE AV","BIRCHWOOD ST","7","SS-005071","SS-005071"
"7","CARMEL COUNTRY RD","0.35226332","Class II","DERRYDOWN WY","CLOVERHURST WY","1","SS-006372","SS-006372"
"8","BARNETT AV","0.02882586","Class II","PACIFIC HY SB ON RA","PACIFIC HY NB OFF RA","2","SS-003587",""
"9","OLD CARMEL VALLEY RD","0.09355655","Class II","SANDOWN WY","MILL CREEK RD","1","SS-031271","SS-031271"
"10","SWIFT AV","0.07085388","Class II","LANDIS ST","WIGHTMAN ST","9","SS-026019","SS-026019"
"11","MONTEZUMA RD","0.07400721","Class II","CAMPANILE DR","MONTEZUMA PL","9","SS-018906","SS-018906"
"12","BEECH ST","0.04897241","Class IV (Two-Way)","03RD AV","04TH AV","3","SS-003868",""
"13","LA JOLLA SHORES DR","0.05391556","Class III","INYAHA LN","LA JOLLA FARMS RD","1","SS-015603","SS-015603"
"14","PACIFIC HY SB OFF RA","0.16876528","Class II","PACIFIC HY","PACIFIC HY SB ON RA","2","SS-020952","SS-020952"
"15","MONROE AV BRIDGE","0.05389005","Class I","MONROE AV","TERRACE DR","9","No Segment ID","No IAMFLOC ID"
"16","CHELSEA AV","0.02812304","Class III","DOLPHIN PL","ABALONE PL","1","SS-007058","SS-007058"
"17","TROJAN AV","0.02166265","Class III","54TH ST","54TH PL","9","SS-026867","SS-026867"
"18","MARKET ST","0.25873847","Class II","UVAS ST","EUCLID AV","4","SS-017621","SS-017621"
"19","CARMEL CREEK RD","0.24430663","Class II","CARMEL MTN RD","MAPLE RIDGE","1","SS-006386","SS-006386"
"20","MONTEZUMA RD","0.19334508","Class II","54TH ST","55TH ST","9","SS-018918","SS-018918"
"21","IMPERIAL AV","0.19811048","Class II","ESCUELA ST","49TH ST","4","SS-014051","SS-014051"
"22","OCEAN FRONT WK","0.03487369","Class I","ISTHMUS CT","JAMAICA CT","2","SS-032017","SS-032017"
"23","MIRA MESA BL","0.18428176","Class II","MARBURY AV","RICKERT RD","6","SS-018367",""
"24","CARLTON OAKS DR","0.00479559","Class III","CITY BOUNDARY","WEST HILLS PY","7","No Segment ID","No IAMFLOC ID"
"25","CARMEL MTN RD","0.25689770","Class II","SUNDEVIL WY","PASEO MONTALBAN","5","SS-006422","SS-006422"
"26","CROWN POINT DR","0.10812936","Class II","EDEN DR","LA CIMA DR","1","SS-008313","SS-008313"
"27","SUNSET CLIFFS BL","0.14419671","Class III","MONACO ST","HILL ST","2","SS-025885","SS-025885"
"28","30TH ST","0.07646633","Class IV (One-Way)","NORTH PARK WY","UNIVERSITY AV","3","SS-000658",""
"29","TURQUOISE ST","0.05306521","Class III","LA JOLLA BL","END","1","SS-026942","SS-026942"
"30","GENESEE AV","0.09741951","Class II","WHITNEY ST","OSLER ST","7","SS-012014",""
"31","GOLFCREST DR","0.33787136","Class II","MONTE VERDE DR","RUANE ST","7","SS-012389","SS-012389"
"32","VOLTAIRE ST","0.12348719","Class III","EBERS ST","SUNSET CLIFFS BL","2","SS-028128","SS-028128"
"33","SCRIPPS LAKE DR","0.05045523","Class III","MIRA LAGO TR","SUNSET RIDGE DR","5","SS-024521","SS-024521"
"34","ORANGE AV","0.05937745","Class III","WILSON AV","36TH ST","9","SS-020607","SS-020607"
"35","GILMAN DR","0.03799259","Class II","LA JOLLA VILLAGE DR","LA JOLLA VILLAGE DR RA","1","SS-012129","SS-012129"
"36","LA JOLLA BL","0.03181290","Class II","NAUTILUS ST","ALLEY","1","SS-015499","SS-015499"
"37","WEST POINT LOMA BL","0.06870833","Class III","MUIR AV","SPRAY ST","2","SS-028516",""
"38","PACIFIC BEACH DR","0.05503414","Class III","CROWN POINT DR","NOYES ST","1","SS-020854","SS-020854"
"39","PORTOBELO DR","0.27144576","Class II","CTE PLAYA CARTAGENA","CAM PLAYA BAJA","7","SS-022262","SS-022262"
"40","FULTON ST BRIDGE","0.10910231","Class I","CARDINAL LN","FULTON ST","7","No Segment ID","No IAMFLOC ID"
"41","54TH ST","0.08374007","Class II","EL CAJON BL","COLLWOOD BL","9","SS-001296",""
"42","CARMEL MTN RD","0.18847774","Class II","VEREDA MAR DEL CORAZ","CANTER HEIGHTS DR","1","SS-006432","SS-006432"
"43","J ST","0.05038806","Class IV (Two-Way)","07TH AV","08TH AV","3","SS-014371",""
"44","NIMITZ BL","0.07144674","Class II","SCOTT ST","ROSECRANS ST","2","SS-019940",""
"45","SCHOLARS DR","0.29292619","Class II","REVELLE COLLEGE DR","LA JOLLA SHORES DR","1","No Segment ID","No IAMFLOC ID"
"46","POPLAR ST","0.06093455","Class II","COLUMBINE ST","HEATHER ST","9","SS-022224","SS-022224"
"47","SPRING CANYON RD","0.16737066","Class II","SUNSET RIDGE DR","BLUE CYPRESS DR","5","SS-025399","SS-025399"
"48","SANTO RD","0.09795596","Class II","EL COMAL DR","PORTOBELO DR","7","SS-024310",""
"49","04TH AV","0.12518939","Class IV (One-Way)","PENNSYLVANIA AV","ROBINSON AV","3","SS-000109","SS-000109"
"50","CALLE CRISTOBAL","0.16357646","Class II","LORIRAE PL","CAM RUIZ","6","SS-005460","SS-005460"
"51","GALEWOOD ST","0.04917144","Class III","WARING RD","BRUNSWICK AV","7","SS-011773","SS-011773"
"52","NORTH TORREY PINES RD","0.01535025","Class II","CALLAN RD","N TORREY PINE NB OFF RA","1","SS-020118",""
"53","EL CAJON BL","0.03394110","Class II","MONTEZUMA RD","67TH ST","9","SS-009964",""
