"objectid","2name","name","gis_acres","park_type","address","owner","source_id","source","source_dt","src_notes"
"1","South Carlsbad SB","South Carlsbad State Beach","115.89587845","State","","State Parks","652","State Parks","0416"," "
"2","Torrey Pines SB","Torrey Pines State Beach","67.29430932","State","","State Parks","631","State Parks","0416"," "
"3","Ruocco Park","Ruocco Park","3.31252600","Local","585 Harbor Ln, San Diego. California","SDUPD","","SDUPD","0416"," "
"4","Tuna Harbor Park","Tuna Harbor Park","0.63903495","Local","700 North Harbor Dr, San Diego. California","SDUPD","","SDUPD","0416"," "
"5","San Diego Bayfront Park","San Diego Bayfront Park","3.66927183","Local","One Park Boulevard, San Diego. California","SDUPD","","SDUPD","0416"," "
"6","Pepper Park ","Pepper Park ","4.82051500","Local","3299 Tidelands Av, National City. California","SDUPD","","SDUPD","0416"," "
"7","Ocotillo Wells SVRA","Ocotillo Wells SVRA","21283.69410904","State","","State Parks","439","State Parks","0416"," "
"8","We-Nelsch CP","We-Nelsch Cultural Preserve","433.13631991","State","","State Parks","626","State Parks","0416"," "
"9","Agua Caliente County Park (ABDSP)","Agua Caliente County Park","681.32190708","State","","State Parks","622","State Parks","0416"," "
"10","Santa Rosa Mountains SW","Santa Rosa Mountains State Wilderness","136644.07947663","State","","State Parks","627","State Parks","0416"," "
"11","San Pasqual Battlefield SHP","San Pasqual Battlefield State Park","70.70424345","State","","State Parks","615","State Parks","0416"," "
"12","Carlsbad SB","Carlsbad State Beach","39.04164118","State","","State Parks","612","State Parks","0416"," "
"13","Anza-Borrego Desert SW","Anza-Borrego Desert State Wilderness","321408.10663422","State","","State Parks","624","State Parks","0416"," "
"14","Coyote Canyon CP","Coyote Canyon Cultural Preserve","29708.37690265","State","","State Parks","613","State Parks","0416"," "
"15","Los Penasquitos Marsh NP","Los Penasquitos Marsh Nature Nature Preserve","213.47037090","State","","State Parks","640","State Parks","0416"," "
"16","Border Field SP","Border Field State Park","787.55380635","State","","State Parks","669","State Parks","0416"," "
"17","Cuyamaca Rancho SP","Cuyamaca Rancho State Park","24737.00579680","State","","State Parks","618","State Parks","0416"," "
