"objectid","rec_bldg","park_name","fac_nm_id","address","zip","sq_ft","year_built","serv_dist","adult_ctr","comfort_st","comp_room","dance_rm","game_room","gymnasium","kiln","kiln_room","kitchen","multi_purp","racquetbll","stage","teen_ctr","tinytot_rm","weight_rm","cd","neighborhd","lat","lng"
"1","Bay TerracesCommunity & Senior Center","Bay Terraces CP","10997","7445 Tooma St","92139","5220","2020","43","1","1","0","0","0","0","0","0","1","1","0","0","0","1","0","4","BAY TERRACES","32.6807953626424","-117.03557615834055"
"2","Park de la Cruz Gymnasium & Community Center","Park de la Cruz Neighbohood Park","10751","3901 Landis Steet St","92105","","2019","41","0","1","1","1","0","1","0","0","1","4","0","0","0","0","1","9","CITY HEIGHTS","32.7457158022284","-117.11032075761244"
"3","San Ysidro Teen Center","San Ysidro CP","473","101 W. San Ysidro Blvd.","92173","4048","1924","42","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","8","SAN YSIDRO","32.552678366914016","-117.04428888567237"
"4","Pacific Highlands Ranch Rec Center","Pacific Highlands Ranch Community Park","10961","5977 Village Loop Rd","92130","17393","2019","40","0","2","0","1","1","1","0","0","1","2","0","0","0","0","0","1","PACIFIC HIGHLANDS RANCH","32.95998981852963","-117.18718358661883"
"5","Silver Wing Rec Center","Silver Wing Park","1233","3737 Arey Dr","92123","2030","1976","42","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","8","OTAY MESA WEST","32.57776281765363","-117.05345486514905"
"6","Montgomery-Waller Rec Center","Montgomery-Waller Community Park","9937","3020 Coronado Av","92154","10850","1991","42","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","8","OTAY MESA WEST","32.57889961936472","-117.06861095796673"
"7","Stockton Rec Center","Martin Luther King, Jr. Elementary School","1264","330 32nd St","92102","17000","1978","42","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","9","STOCKTON","32.70919014648919","-117.12550340484817"
"8","Balboa Park Activity Center","Balboa Park","10263","2145 Park Bl","92101","37970","1999","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","3","BALBOA PARK","32.726735591887454","-117.1477334792267"
"9","Skyline Rec Center","Skyline Community Park","758","8285 Skyline Dr","92114","10810","1970","43","0","0","0","0","0","1","0","0","1","2","0","0","1","0","1","4","JAMACHA LOMITA","32.70567512429343","-117.02617170452372"
"10","La Jolla Rec Center","La Jolla Community Park","481","615 Prospect St","92037","9160","1915","44","0","0","0","0","0","0","0","0","1","3","0","0","0","0","1","1","LA JOLLA","32.84334955099366","-117.2777901284521"
"11","Robb Field Rec Center","Mission Bay","1027","2525 Bacon St","92107","3210","1977","45","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","2","OCEAN BEACH","32.75430992570211","-117.24140963621413"
"12","Carmel Mtn Ranch / Sabre Springs Rec Center","Carmel Mtn Ranch / Sabre Springs Comm Park","10305","10152 Rancho Carmel Dr","92128","10600","1997","40","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","5","CARMEL MOUNTAIN","32.966843627892274","-117.09117249395459"
"13","Ocean Beach Rec Center","Ocean Beach Community Park","483","4726 Santa Monica Av","92107","10090","1946","45","0","0","0","0","0","1","1","1","1","2","0","1","0","0","0","2","OCEAN BEACH","32.74462607324062","-117.24568760700973"
"14","Tecolote Rec Center","Tecolote Community Park","482","4675 Tecolote Rd","92110","1700","1971","44","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","7","MORENA","32.774870026272545","-117.20020437210665"
"15","Colonel Salomon Rec Center","San Ysidro Comm Activity Center","9807","179 Diza Rd","92173","13980","1962","42","0","0","0","0","0","1","0","0","1","3","0","0","1","0","1","8","SAN YSIDRO","32.56508558576903","-117.04556314681577"
"16","Presidio Rec Center","Presidio Community Park","484","2811 Jackson St","92110","5300","1946","41","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","OLD TOWN","32.75776750558109","-117.19579132091238"
"17","Mid-City Gymnasium","Mid-City Police Sub Station","10088","4302 Landis St","92105","8600","1996","41","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","9","CASTLE","32.74672118871274","-117.10165085437518"
"18","Cadman Rec Center","Cadman Community Park","495","4280 Avati Rd","92117","2570","1971","44","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","2","BAY HO","32.82026922299765","-117.2147928662327"
"19","Municipal Gymnasium","Balboa Park","637","2111 Pan American Rd","92101","24100","1935","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","BALBOA PARK","32.72695610889106","-117.15297513085977"
"20","Golden Hills Rec Center","Balboa Park","512","2600 Golf Course Dr","92102","10040","1948","41","1","0","0","1","1","1","1","1","1","3","0","0","1","0","0","3","BALBOA PARK","32.720992448307676","-117.1373364153029"
"21","Santa Clara Point Rec Center","Mission Bay","511","1008 Santa Clara Pl","92109","8790","1948","44","0","0","0","0","0","0","0","0","1","2","0","0","0","0","1","2","MISSION BEACH","32.78347392689387","-117.24904397887978"
"22","Willie Henderson Rec Center","Willie Henderson Sports Complex","1265","1035 S 45th St","92113","2390","1977","43","0","0","0","0","1","0","0","0","1","3","0","0","0","0","0","4","MOUNTAIN VIEW","32.694617707156276","-117.09759656080568"
"23","Encanto Teen Center","Encanto Community Park","294","6508 Wunderlin Av","92114","1220","2005","43","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","4","ENCANTO","32.715606430412365","-117.05682267803742"
"24","Encanto Rec Center","Encanto Community Park","294","6508 Wunderlin Av","92114","9890","1965","43","0","0","0","0","1","1","1","1","1","3","0","0","0","0","1","4","ENCANTO","32.714737597852","-117.05775296144859"
"25","Adams Rec Center","Adams Avenue Community Park","1459","3491 Adams Av","92116","2360","1987","41","0","0","0","1","1","0","1","1","1","3","0","0","0","0","0","9","NORMAL HEIGHTS","32.76316050602282","-117.11754612346704"
"26","Mountain View Rec Center","Mountain View Park","1099","551 S 40th St","92113","18100","2004","43","0","0","1","1","0","1","1","1","1","3","0","1","1","0","1","4","MOUNTAIN VIEW","32.7000091504887","-117.10787086895358"
"27","Cabrillo Rec Center","Cabrillo Elementary School","1268","3051 Canon St","92106","1980","1980","45","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","2","ROSEVILLE / FLEET RIDGE","32.72177354305867","-117.23262033707502"
"28","Rancho Bernardo Rec Center","Rancho Bernardo Community Park","10052","18448 W Bernardo Dr","92127","14750","1994","40","0","0","0","0","0","1","0","0","1","2","0","0","0","0","0","5","RANCHO BERNARDO","33.04789696077019","-117.07584518030204"
"29","North Park Rec Center","North Park Community Park","488","4044 Idaho St","92104","11230","1947","41","1","0","0","1","1","1","1","1","1","3","0","0","1","1","0","3","NORTH PARK","32.75090087324055","-117.13418236426405"
"30","Scripps Ranch Rec Center","Scripps Ranch Community Park","10279","11454 Blue Cypress Dr","92131","12080","2000","40","0","0","0","0","0","1","0","0","1","2","0","0","0","0","0","5","MIRAMAR RANCH NORTH","32.92867422067815","-117.0798588377493"
"31","Azalea Rec Center","Azalea Neighborhood Park","1072","2596 Violet St","92105","1790","1973","41","0","0","1","0","0","0","2","1","1","1","0","0","0","0","0","9","AZALEA/HOLLYWOOD PARK","32.7323646442225","-117.10817166761672"
