Location,Main Library Name,10.15 Phone,Address,10.7 City,Zip Code,10.9 Zip+4 Code,URL
A. K. Smiley Public Library,A. K. SMILEY PUBLIC LIBRARY,(909) 798-7565,125 W. Vine St.,REDLANDS,92373,4728.0,http://www.akspl.org
Albany Library,ALAMEDA COUNTY LIBRARY,(510) 526-3720,1247 Marin Avenue,ALBANY,94706,1796.0,http://www.aclibrary.org
Castro Valley Library,ALAMEDA COUNTY LIBRARY,(510) 667-7900,3600 Norbridge Ave.,CASTRO VALLEY,94546,4382.0,http://www.aclibrary.org
Centerville Library,ALAMEDA COUNTY LIBRARY,(510) 795-2629,3801 Nicolet Ave.,FREMONT,94536,3493.0,http://www.aclibrary.org
Dublin Library,ALAMEDA COUNTY LIBRARY,(925) 828-1315,200 Civic Plaza,DUBLIN,94568,2619.0,http://www.aclibrary.org
Fremont Main Library,ALAMEDA COUNTY LIBRARY,(510) 745-1401,2400 Stevenson Blvd.,FREMONT,94538,2325.0,http://www.aclibrary.org
Irvington Library,ALAMEDA COUNTY LIBRARY,(510) 795-2631,41825 Greenpark Dr.,FREMONT,94538,4048.0,http://www.aclibrary.org
Newark Library,ALAMEDA COUNTY LIBRARY,(510) 795-2627,37055 Newark Blvd.,NEWARK,94560,3184.0,http://www.aclibrary.org
Niles Library,ALAMEDA COUNTY LIBRARY,(510) 795-2626,150 I St.,FREMONT,94536,2998.0,http://www.aclibrary.org
San Lorenzo Library,ALAMEDA COUNTY LIBRARY,(510) 670-6283,395 Paseo Grande,SAN LORENZO,94580,2491.0,http://www.aclibrary.org
Union City Library,ALAMEDA COUNTY LIBRARY,(510) 745-1464,34007 Alvarado-Niles Rd.,UNION CITY,94587,4498.0,http://www.aclibrary.org
Alameda Free Library,ALAMEDA FREE LIBRARY,(510) 747-7747,1550 Oak St,ALAMEDA,94501,4411.0,http://www.alamedafree.org
Bay Farm Island Branch,ALAMEDA FREE LIBRARY,(510) 747-7787,3221 Mecartney Rd.,ALAMEDA,94502,6922.0,http://www.alamedafree.org
West End Branch,ALAMEDA FREE LIBRARY,(510) 747-7767,788 Santa Clara Ave.,ALAMEDA,94501,3334.0,http://www.alamedafree.org
Alhambra Civic Center Library,ALHAMBRA CIVIC CENTER LIBRARY,(626) 570-5008,101 S. First St.,ALHAMBRA,91801,3488.0,http://alhambralibrary.org
Alpine County Library,ALPINE COUNTY LIBRARY/ARCHIVES,(530) 694-2120,270 Laramie St.,MARKLEEVILLE,96120,,http://www.alpinecountyca.gov/Index.aspx?NID=107
