objectid,Park,alias,park_type,Location,Zip Code
3,Ruocco Park,Ruocco Park,Local,"585 Harbor Ln, San Diego. California",92101
4,Tuna Harbor Park,Tuna Harbor Park,Local,"700 North Harbor Dr, San Diego. California",92101
5,San Diego Bayfront Park,San Diego Bayfront Park,Local,"One Park Boulevard, San Diego. California",92101
6,Pepper Park ,Pepper Park ,Local,"3299 Tidelands Av, National City. California",91950
23,Grand Caribe Shoreline Park,Grand Caribe Shoreline Park,Local,"598 Grand Caribe Cswy, Coronado. California",92118
30,Shelter Island Shoreline Park (North),Shelter Island Shoreline Park (North),Local,"1500 Shelter Island Dr, San Diego. California",92106
31,Coronado Ferry Landing Park ,Coronado Ferry Landing Park ,Local,"1 B Av, Coronado. California",92118
32,Centennial Park,Centennial Park,Local,"1 B Av, Coronado. California",92118
33,Lane Field Park,Lane Field Park,Local,"1009 North Harbor Dr, San Diego. California",92101
34,Broadway Landing,Broadway Landing,Local,"1198 West Broadway, San Diego. California",92132
35,Harbor Island Park,Harbor Island Park,Local,"1875 Harbor Island Dr, San Diego. California",92101
36,Spanish Landing Park (East),Spanish Landing Park (East),Local,"3900 North Harbor Dr, San Diego. California",92101
37,Spanish Landing Park (West),Spanish Landing Park (West),Local,"4300 North Harbor Dr, San Diego. California",92101
38,Spanish Landing Park (West),Spanish Landing Park (West),Local,"4300 North Harbor Dr, San Diego. California",92101
39,Tuna Harbor Park,Tuna Harbor Park,Local,"700 North Harbor Dr, San Diego. California",92101
40,Shelter Island Shoreline Park (Central),Shelter Island Shoreline Park (Central),Local,"1800 Shelter Island Dr, San Diego. California",92106
41,Shelter Island Shoreline Park (Central),Shelter Island Shoreline Park (Central),Local,"1800 Shelter Island Dr, San Diego. California",92106
42,Shelter Island Shoreline Park (Central),Shelter Island Shoreline Park (Central),Local,"1800 Shelter Island Dr, San Diego. California",92106
43,Chula Vista Bayside Park & Pier,Chula Vista Bayside Park & Pier,Local,"999 Bayside Pkwy, Chula Vista. California",91910
44,Maxton Brown Park,Maxton Brown Park,Local,Laguna Dr And State St,92008
52,Zone 5 Park ,Zone 5 Park ,Local,Faraday Av And Camino Hills Dr,92008
63,Navy Pier,Navy Pier,Local,"900 North Harbor Dr, San Diego. California",92132
64,Coronado Tidelands Park,Coronado Tidelands Park,Local,"2000 Mullinix Dr, Coronado. California",92118
66,Cesar Chavez Park,Cesar Chavez Park,Local,"1449 Cesar E. Chavez Pkwy, San Diego. California",92101
67,Fifth Avenue Landing Lawn Area,Fifth Avenue Landing Lawn Area,Local,"600 Convention Center Wy, San Diego. California",92101
68,Yacht Club Promenade Pocket Park,Yacht Club Promenade Pocket Park,Local,"Strand Wy, Coronado. California",92118
69,Embarcadero Marina Park North,Embarcadero Marina Park North,Local,"400 Kettner Blvd, San Diego. California",92101
70,Point Loma Marina Park,Point Loma Marina Park,Local,"2040 Harbor Island Drive, San Diego. California",92106
71,Portwood Pier Plaza,Portwood Pier Plaza,Local,"940 Seacoast Dr, Imperial Beach. California",91932
72,Holiday Estates I Park,Holiday Estates I Park,Local,383 Connoley Cir,91911
79,Gayle L Mccandliss Park,Gayle L Mccandliss Park,Local,415 E J St,91910
80,Sunbow Park,Sunbow Park,Local,500 E Naples St,91911
81,Lancerlot Park,Lancerlot Park,Local,750 K St,91910
82,Eucalyptus Park,Eucalyptus Park,Local,Fourth Av & C St,91910
83,Friendship Park,Friendship Park,Local,Fourth Av & F St,92154
84,Norman Park,Norman Park,Local,270 F St,31771
85,Chula Vista Women'S Club,Chula Vista Women'S Club,Local,390 Garrett Av,91910
87,Bay Boulevard Park,Bay Boulevard Park,Local,F St & Bay Bl,91910
88,Bayside Park,Bayside Park,Local,Bayside Pw,91910
89,Bayfront Park,Bayfront Park,Local,800 Marina Pkwy,92101
90,Marina View Park,Marina View Park,Local,800 Marina Pkwy,91910
91,Embarcadero Marina Park South,Embarcadero Marina Park South,Local,"20 Marina Park Wy, San Diego. California",92101
92,Coronado Skatepark,Coronado Skatepark,Local,"2000 Mullinix Drive, Coronado. California",92118
94,Shelter Island Shoreline Park (South),Shelter Island Shoreline Park (South),Local,"1500 Shelter Island Dr, San Diego. California",92106
95,Fuerte Park,Fuerte Park,Local,El Fuerte St And Corinitia St,92009
96,Stagecoach Park,Stagecoach Park,Local,3420 Camino De Los Coches,92009
97,Alga Norte Park,Alga Norte Park,Local,6565 Alicante Rd,92009
98,Marisol Park,Marisol Park,Local,916 Rancho Del Rey Pkwy,91910
99,Terra Nova Park,Terra Nova Park,Local,450 Hidden Vista Dr,91910
100,Rohr Park,Rohr Park,Local,4548 Sweetwater Rd,91902
102,Loma Verde Park,Loma Verde Park,Local,1420 Loma Ln,91911
103,Rienstra Sports Complex,Rienstra Sports Complex,Local,1500 Max Av,91911
104,Los Ninos Park,Los Ninos Park,Local,150 Teal St,91911
105,Connoley Park,Connoley Park,Local,1559 Connoley Av,91911
106,Holiday Estates Ii Park,Holiday Estates Ii Park,Local,368 Connoley Cir,91911
108,Las Verdes Park,Las Verdes Park,Local,1390 Paseo De Las Verdes,92024
109,Wiro Park,Wiro Park,Local,2232 El Camino Del Norte,92024
111,Horizon Park,Horizon Park,Local,970 E Palomar St,92104
112,Sunridge Park,Sunridge Park,Local,952 Beechglen Dr,91910
113,Chula Vista Marina View Park,Chula Vista Marina View Park,Local,"900 Marina Pkwy, Chula Vista. California",91910
114,Chula Vista Bayfront Park,Chula Vista Bayfront Park,Local,"980 Marina Pkwy, Chula Vista. California",91910
115,Otay Park,Otay Park,Local,1613 Albany Av,92154
117,Valle Lindo Park,Valle Lindo Park,Local,545 Sequoia Dr,91911
118,Greg Rogers Park,Greg Rogers Park,Local,1189 Oleander Av,91911
119,Veterans Park,Veterans Park,Local,785 E Palomar St,91932
120,Calavera Park,Calavera Park,Local,2997 Glasgow Drive,92010
121,Cannon Park,Cannon Park,Local,Carlsbad Bl And Cannon Rd,92121
122,Hidden Canyon Park,Hidden Canyon Park,Local,Carlsbad Village Dr,92010
124,Aviara Oaks School Field,Aviara Oaks School Field,Local,Ambrosia Ln & Aviara Pkwy,92011
125,Hosp Grove Park,Hosp Grove Park,Local,Jefferson & Monroe,92008
126,Carlsbad High School,Carlsbad High School,Local,3557 Monroe St,92008
127,Monroe Street Pool,Monroe Street Pool,Local,3557 Monroe St,92008
130,Rancho Del Rey Park North,Rancho Del Rey Park North,Local,1311 Buena Vista Wy,91910
