objectid,Center,park_name,Address,Zip Code,adult_ctr,comfort_st,comp_room,dance_rm,game_room,gymnasium,kiln,kiln_room,kitchen,multi_purp,racquetbll,stage,teen_ctr,tinytot_rm,weight_rm,cd,neighborhd
1,Bay TerracesCommunity & Senior Center,Bay Terraces CP,7445 Tooma St,92139,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4,BAY TERRACES
2,Park de la Cruz Gymnasium & Community Center,Park de la Cruz Neighbohood Park,3901 Landis Steet St,92105,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,9,CITY HEIGHTS
3,San Ysidro Teen Center,San Ysidro CP,101 W. San Ysidro Blvd.,92173,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8,SAN YSIDRO
4,Pacific Highlands Ranch Rec Center,Pacific Highlands Ranch Community Park,5977 Village Loop Rd,92130,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1,PACIFIC HIGHLANDS RANCH
5,Silver Wing Rec Center,Silver Wing Park,3737 Arey Dr,92123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,8,OTAY MESA WEST
6,Montgomery-Waller Rec Center,Montgomery-Waller Community Park,3020 Coronado Av,92154,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8,OTAY MESA WEST
7,Stockton Rec Center,"Martin Luther King, Jr. Elementary School",330 32nd St,92102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,9,STOCKTON
8,Balboa Park Activity Center,Balboa Park,2145 Park Bl,92101,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,BALBOA PARK
9,Skyline Rec Center,Skyline Community Park,8285 Skyline Dr,92114,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,4,JAMACHA LOMITA
10,La Jolla Rec Center,La Jolla Community Park,615 Prospect St,92037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1,LA JOLLA
11,Robb Field Rec Center,Mission Bay,2525 Bacon St,92107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2,OCEAN BEACH
12,Carmel Mtn Ranch / Sabre Springs Rec Center,Carmel Mtn Ranch / Sabre Springs Comm Park,10152 Rancho Carmel Dr,92128,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5,CARMEL MOUNTAIN
13,Ocean Beach Rec Center,Ocean Beach Community Park,4726 Santa Monica Av,92107,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2,OCEAN BEACH
14,Tecolote Rec Center,Tecolote Community Park,4675 Tecolote Rd,92110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7,MORENA
15,Colonel Salomon Rec Center,San Ysidro Comm Activity Center,179 Diza Rd,92173,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,8,SAN YSIDRO
