name,Rating,Address,Food Keywords
Mango.Mango Fresh and Healthy,4.3,"4530 Bonita Rd, Bonita","restaurant, food, store, point_of_interest, establishment"
Greens Please Wellness Kitchen,4.6,"12202 Poway Rd #100, Poway","restaurant, food, point_of_interest, establishment"
Fresheria - Be Fresh San Diego,4.4,"4687 Logan Ave, San Diego","restaurant, meal_delivery, cafe, store, food, point_of_interest, establishment"
mangolicious fresh and healthy,4.1,"2434 Southport Way #J, National City","restaurant, food, point_of_interest, establishment"
Sweet And Green,4.7,"484 E Main St, El Cajon","restaurant, food, point_of_interest, establishment"
Freshería - La Jolla,4.3,"627 Pearl St, La Jolla","restaurant, cafe, store, food, point_of_interest, establishment"
Crafted Greens,4.8,"745 Jamacha Rd, El Cajon","restaurant, food, point_of_interest, establishment"
Second Nature,4.4,"5026 Cass St, San Diego","bar, restaurant, food, point_of_interest, establishment"
Flower Child,4.5,"2690 Via De La Valle, Del Mar","restaurant, food, point_of_interest, establishment"
True Food Kitchen,4.5,"7007 Friars Rd Suite 394, San Diego","meal_takeaway, restaurant, food, point_of_interest, establishment"
Joya Kitchen,4.3,"10275 Science Center Dr, San Diego","restaurant, food, point_of_interest, establishment"
East Village Nutrition,4.7,"304 Eleventh Ave, San Diego","restaurant, food, point_of_interest, establishment"
moonbowls (Healthy Korean Bowls- Boston Ave),4,"2707 Boston Ave, San Diego","restaurant, food, point_of_interest, establishment"
Urbane Cafe,4.6,"5375 Napa St, San Diego","meal_takeaway, restaurant, food, point_of_interest, establishment"
Urbane Cafe,4.6,"120 Fletcher Pkwy #115, El Cajon","meal_takeaway, restaurant, food, point_of_interest, establishment"
Garden Fresh Grill & Smoothie,4.5,"6165 El Cajon Blvd F, San Diego","restaurant, food, point_of_interest, establishment"
True Food Kitchen,4.4,"4303 La Jolla Village Dr Ste 2100, San Diego","meal_takeaway, restaurant, food, point_of_interest, establishment"
Vitality Bowls,4.1,"8935 Towne Centre Dr Ste 107, San Diego","restaurant, food, point_of_interest, establishment"
The Lean Machine Meal Prep,4.8,"Delivery Only, No Dine In, Private Commercial Kitchen, 4178 Cartagena Dr, San Diego","meal_delivery, restaurant, food, health, store, point_of_interest, establishment"
Tropical Oasis,4.3,"417 Telegraph Canyon Rd, Chula Vista","restaurant, food, store, point_of_interest, establishment"
